kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7472596017158930000 ,Fun to control your friends with this voice changer the voice changer works on every single console#voicechanger #voicechangerwitheffects #fyp #foryoupage #tiktokshopfinds #tiktokmademebuyit #gaming ,3209445,95566,824,https://www.tiktok.com/@rambo_reviews/video/7472596017158933803,,,
7454926430305140000 ,Best Small Portable Party Speaker JBL PartyBox Encore Essential | Unboxing & Testing  . . . #portablespeaker #unbox #sound #test #unboxing #bluetooth #speaker #fyp #jbl #asmrvideo #asmr #fy ,3199455,49350,829,https://www.tiktok.com/@POLIN/video/7454926430305144110,,,
7467720972741950000 ,Electric metal cutting shears which use DeWalt 20V batteries. I prove that the shears cut nicely and not just metal. What can you cut with it? Check it out and see! #tools #powertools #rechargeable #shop #construction #DIY #metalsmith #tiktokshoploveatfirstfind ,3166269,61273,853,https://www.tiktok.com/@Thriving Country/video/7467720972741954862,,,
7468102919187900000 ,Los Auriculares X15PRO  de MINISO 😱 traducen hasta 135 idiomas en tiempo real y son de super buena calidad✨ te los recomiendo los amarás 🥰 #miniso #auriculares #buenacalidad #baratos #novedad #TikTokShop #mexico #musica #vamostiktokshop @Miniso Mx @Miniso Official ,3148249,65093,520,https://www.tiktok.com/@Cristyn Solano/video/7468102919187909893,,,
7466580352962690000 ,BUYING EVERTHING MY 5 YEAR OLD SISTER TOUCHES AT MINISO @MINISO United States #fyp #foryou #miniso #sister ,3140934,221841,1384,https://www.tiktok.com/@Veronica Van💫💕/video/7466580352962694442,,,
7450954203146500000 ,Replying to @Karla My detailed skincare routine takes about 30 min/night but it’s worth it 😅  Cleansers✨: @Sungboon Editor Official Green tomato deep cleanser @Knours Beauty oil to foam cleanser Toner + exfoliate✨: @Medicube Global  Zero pore pads  Serums✨: @medicube PDRN serum (peptides) @SkinCeuticals P tiox serum (anti aging) @AXIS-Y Dark spot glow serum Tretinoin (for dark spots) Creams✨: @ski,3118558,215216,1208,https://www.tiktok.com/@imshannonwu/video/7450954203146505502,,,
7439183953392710000 ,"Enlace en comentarios! En serio que me encanta esta aspiradora/mapeadora tiene todo en uno solo,sirve para piso y alfombra! Y llega a los lugares pequeños gracias a su delgada forma, con Eufy ya podre ocuparme en otras cosas mientras mi piso se limpia solo ! ✨  . . . #tiktokshopblackfriday#eufyC20#eufy#eufyrobotvacuum#eufyOmniC20#limpieza#CleanTok#cleaningtiktok#cleaning#mopvacuum#allinone",3102245,12720,137,https://www.tiktok.com/@Erika | Homedecor/video/7439183953392717098,,,
7473470132392610000 ,Grabe sobrang angas naman neto! 😱🎥 #DJIPhilippines #OsmoMobile7Series #phonegimbal #smartphonegimbal @DJI PH @DJI Official ,3063364,129158,1415,https://www.tiktok.com/@KaMangyan Vlogs/video/7473470132392611090,,,
7462491187476270000 ,0 regrets #jbl #headphones ,3005149,478889,1810,https://www.tiktok.com/@イーラБисигнет/video/7462491187476270343,,,
7491714069150450000 ,enjoying the view #fyp #sea #Summer #life ,2997997,613408,595,https://www.tiktok.com/@tamara/video/7491714069150452998,,,
