selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.youtube.com//shorts/H7TBXK5E8po,7,1,552,2/17/2025,@venicialolol,H7TBXK5E8po
https://www.youtube.com//shorts/WVY9o3Wucp0,12,0,528,2/17/2025,@barmanpsicologa,WVY9o3Wucp0
https://www.youtube.com//shorts/Ai2cPdImn4c,39,0,965,2/16/2025,@alpechahunter,Ai2cPdImn4c
https://www.youtube.com//shorts/ivQnLyZJH_o,115,5,15000,2/16/2025,@haydeeprovazek,ivQnLyZJH_o
https://www.youtube.com//shorts/TnIdym6GYu8,126,0,15000,2/16/2025,@baobo-k6h,TnIdym6GYu8
https://www.youtube.com//shorts/VhkUe7d_3do,148,0,14000,2/16/2025,@annunziata-y6u,VhkUe7d_3do
https://www.youtube.com//shorts/KNU4jY56CaA,136,6,16000,2/16/2025,@venicialolol,KNU4jY56CaA
https://www.youtube.com//shorts/Ew9msouzgVI,6,0,622,2/16/2025,@barmanpsicologa,Ew9msouzgVI
https://www.youtube.com//shorts/U_FxTJbc7s0,18,0,4251,2/15/2025,@chelsierinkus,U_FxTJbc7s0
https://www.youtube.com//shorts/2DBOKaUOYbA,133,0,11000,2/15/2025,@emilie-s7q,2DBOKaUOYbA
https://www.youtube.com//shorts/zXHUyaFxrgs,103,1,10000,2/14/2025,@chelsierinkus,zXHUyaFxrgs
https://www.youtube.com//shorts/3sD8FE3-tVg,3,1,1223,2/13/2025,@emilie-s7q,3sD8FE3-tVg
https://www.youtube.com//shorts/alPdrKVt9eI,226,1,15000,2/13/2025,@alpechahunter,alPdrKVt9eI
https://www.youtube.com//shorts/wYUUmrYhZCI,115,0,15000,2/13/2025,@haydeeprovazek,wYUUmrYhZCI
https://www.youtube.com//shorts/D94Z1hjz1tM,130,0,16000,2/13/2025,@baobo-k6h,D94Z1hjz1tM
https://www.youtube.com//shorts/uGVtw6f47wo,144,1,15000,2/13/2025,@annunziata-y6u,uGVtw6f47wo
https://www.youtube.com//shorts/v88SECspA2Y,9,0,1773,2/13/2025,@venicialolol,v88SECspA2Y
https://www.youtube.com//shorts/D9HHjG2SFNU,1,0,240,2/13/2025,@barmanpsicologa,D9HHjG2SFNU
https://www.youtube.com//shorts/ibzJAk05gUo,164,0,15000,2/12/2025,@chelsierinkus,ibzJAk05gUo
